Date,Open,High,Low,Close,Adj Close,Volume
2/25/2019,163.070007,166.070007,162.899994,164.619995,164.619995,18737100
2/26/2019,164.339996,166.240005,163.800003,164.130005,164.130005,13784100
2/27/2019,162.899994,163.929993,160.410004,162.809998,162.809998,12697500
2/28/2019,162.369995,163.5,160.860001,161.449997,161.449997,11114200
3/1/2019,162.600006,163.130005,161.690002,162.279999,162.279999,11097800
3/4/2019,163.899994,167.5,163.830002,167.369995,167.369995,18894700
3/5/2019,167.369995,171.880005,166.550003,171.259995,171.259995,28187900
3/6/2019,172.899994,173.570007,171.270004,172.509995,172.509995,21531700
3/7/2019,171.5,171.740005,167.610001,169.130005,169.130005,18306500
3/8/2019,166.199997,169.619995,165.970001,169.600006,169.600006,13184800
3/11/2019,171.600006,174.300003,171.580002,172.070007,172.070007,18884000
3/12/2019,172.089996,173.800003,171.220001,171.919998,171.919998,12155300
3/13/2019,172.320007,174.029999,172.119995,173.369995,173.369995,11973300
3/14/2019,169.759995,171.149994,168.160004,170.169998,170.169998,18037400
3/15/2019,167.160004,167.580002,162.509995,165.979996,165.979996,37135400
3/18/2019,163.570007,163.899994,159.279999,160.470001,160.470001,37524200
3/19/2019,161.479996,163.820007,160.820007,161.570007,161.570007,25611500
3/20/2019,161.5,166.119995,161.240005,165.440002,165.440002,20211500
3/21/2019,164.889999,166.389999,163.75,166.080002,166.080002,16223000
3/22/2019,165.649994,167.419998,164.089996,164.339996,164.339996,16389200
3/25/2019,163,166.539993,162,166.289993,166.289993,12631200
3/26/2019,167.350006,169.449997,166.350006,167.679993,167.679993,15437900
3/27/2019,167.850006,168.940002,164.789993,165.869995,165.869995,10620300
3/28/2019,164.570007,166.720001,163.330002,165.550003,165.550003,10689200
3/29/2019,166.389999,167.190002,164.809998,166.690002,166.690002,13455500
4/1/2019,167.830002,168.899994,167.279999,168.699997,168.699997,10381500
4/2/2019,170.139999,174.899994,169.550003,174.199997,174.199997,23946500
4/3/2019,174.5,177.960007,172.949997,173.539993,173.539993,27590100
4/4/2019,176.020004,178,175.529999,176.020004,176.020004,17847700
