article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/ab7c2a75-05c9-5ff8-8b49-00b42fbe6b14,2018/12/14 0:00,2018-50,b'New Zealand Rebukes Google for Airing Name of Suspect in Backpacker\xe2\x80\x99s Killing',https://www.nytimes.com/2018/12/14/business/media/new-zealand-grace-millane-killing-google.html,"WELLINGTON, New Zealand — The New Zealand government admonished Google on Friday for disclosing the identity of a man charged with killing a female British backpacker, highlighting the tension that arises when local courts order the suppression of information that can be easily found online.",0.022222222,0.066666667,0.022222222,0.022222222,0.066666667,0.066666667,0,0,0.066666667,0.022222222
nyt://video/728e067c-4f87-5ab9-839a-dfc6a21a1132,2018/12/11 0:00,2018-50,b'Lawmakers Grill Google C.E.O. Over Bias and Privacy Concerns',https://www.nytimes.com/video/us/100000006257362/google-house-pichai-bias-testimony.html,"Sundar Pichai, Google’s chief executive, testified before the House Judiciary Committee and faced scrutiny from Republicans over accusations that the search engine’s results were politically biased.",0,0,0,0,0,0,0,0,0.038461538,0
nyt://article/6bba7dc8-9e8c-521f-9d29-35a0fb7258c7,2018/12/19 0:00,2018-51,"b'Google\xe2\x80\x99s Marketing of Children\xe2\x80\x99s Apps Misleads Parents, Consumer Groups Say'",https://www.nytimes.com/2018/12/19/technology/google-kids-apps-misleads-complaint.html,"A group of 22 children’s and consumer organizations is calling for a federal investigation into Google’s marketing of children’s apps in its Google Play store, just the latest in a series of rebukes by experts about how the company handles technology aimed at youngsters.",0.022727273,0,0,0,0,0.022727273,0.022727273,0,0,0
nyt://article/365cf1af-1c4a-5f26-add4-7bfaa6bb19bf,2018/12/17 0:00,2018-51,b'New Google Campus Accelerates Tech\xe2\x80\x99s March Into New York',https://www.nytimes.com/2018/12/17/technology/google-new-york-campus.html,"As West Coast companies storm into New York, they are reshaping the city’s neighborhoods and changing its identity from a hub of finance, fashion and media to one increasingly centered on technology.",0,0.03125,0,0,0,0,0,0,0.03125,0
nyt://article/b07c5f4f-9ef4-5227-a196-8b0e38568800,2019/1/4 0:00,2019-01,b'Tracking the Demise of My Marriage on Google Maps',https://www.nytimes.com/2019/01/04/style/modern-love-end-of-marriage-google-maps.html,"My husband moved out about six weeks ago, marking the end of our nearly 19-year relationship, but Google Maps hasn’t noticed yet. That morning I had whisked the children away so he and two friends from law school could load his things into a U-Haul and drive to the house he had rented.",0.037735849,0,0,0,0,0,0,0,0,0
nyt://article/6cc2c6e8-f797-5563-9514-e9c0a3fe7fec,2019/1/21 0:00,2019-04,b'Google Is Fined $57 Million Under Europe\xe2\x80\x99s Data Privacy Law',https://www.nytimes.com/2019/01/21/technology/google-europe-gdpr-fine.html,"LONDON — After European policymakers adopted a sweeping data privacy law last year, the big question was how regulators would use their newfound authority against the most powerful technology companies.",0.1,0.033333333,0.033333333,0,0.033333333,0.133333333,0.033333333,0,0,0.033333333
nyt://article/614abcc0-088e-5262-a0b3-76976a03d28f,2019/2/4 0:00,2019-06,"b'Alphabet Is in a Tumultuous Time, but the Business Keeps Booming'",https://www.nytimes.com/2019/02/04/technology/alpahbet-quarterly-earnings.html,"SAN FRANCISCO — Google’s parent company, Alphabet, had a tumultuous 2018, with employee revolts, antitrust fines, tough privacy regulation in Europe and heightened political scrutiny in Washington.",0,0.037037037,0,0.037037037,0.037037037,0,0,0,0.111111111,0
nyt://article/f49f065c-c666-53ec-8dde-704d5d16b03a,2019/2/21 0:00,2019-08,b'Google Ends Forced Arbitration for All Employee Disputes',https://www.nytimes.com/2019/02/21/technology/google-forced-arbitration.html,"SAN FRANCISCO — Google said it would no longer force employees to settle disputes with the company in private arbitration, expanding on an earlier pledge to do away with the practice in cases of sexual harassment or assault.",0.026315789,0.026315789,0,0,0.026315789,0.052631579,0,0,0.026315789,0.026315789
nyt://article/adfdd47a-1702-5889-9bd0-50dad91f87aa,2019/3/4 0:00,2019-10,b'Google Finds It\xe2\x80\x99s Underpaying Many Men as It Addresses Wage Equity',https://www.nytimes.com/2019/03/04/technology/google-gender-pay-gap.html,"SAN FRANCISCO — When Google conducted a study recently to determine whether the company was underpaying women and members of minority groups, it found, to the surprise of just about everyone, that men were paid less money than women for doing similar work.",0.023255814,0.023255814,0,0,0.023255814,0.069767442,0.023255814,0.046511628,0.023255814,0.046511628
nyt://article/2e846053-745e-5b26-87e0-fb91f535f62f,2019/3/4 0:00,2019-10,b'Alphabet\xe2\x80\x99s Security Start-Up Wants to Offer History Lessons',https://www.nytimes.com/2019/03/04/technology/google-chronicle-alphabet.html,"SAN FRANCISCO — Ten years ago, Google was hacked by the Chinese military in one of the most startling cyberattacks on an American company by government-affiliated agents.",0,0,0,0,0.037037037,0,0,0.037037037,0,0
nyt://article/4f7ee76b-e8e4-53e2-af58-075408701a21,2019/3/7 0:00,2019-10,b'Even Google Can No Longer Hide Its Gender Pay Gap',https://www.nytimes.com/2019/03/07/opinion/google-pay-gap.html,"On Monday, Google announced something unusual: After its annual pay equity analysis, it gave most of the raises to adjust for unequal practices to men.",0.04,0.04,0.04,0.04,0.04,0.08,0.04,0,0.04,0.04
nyt://article/de5ff2ee-7bd7-5438-98a9-8f1093643e2d,2019/3/11 0:00,2019-11,b'Google Approved $45 Million Exit Package for Executive Accused of Misconduct',https://www.nytimes.com/2019/03/11/technology/google-misconduct-exit-package.html,SAN FRANCISCO — Alphabet’s board of directors agreed to pay a former top Google executive as much as $45 million when he resigned from the company in 2016 after being accused of groping a subordinate.,0.085714286,0.028571429,0,0.028571429,0.028571429,0.085714286,0.085714286,0,0.057142857,0.028571429
nyt://article/92737546-da2d-50e8-b2b8-3e8b59e37165,2019/3/20 0:00,2019-12,b'Google Fined $1.7 Billion by E.U. for Unfair Advertising Rules',https://www.nytimes.com/2019/03/20/business/google-fine-advertising.html,"LONDON — European authorities on Wednesday fined Google 1.5 billion euros for antitrust violations in the online advertising market, continuing its efforts to rein in the world’s biggest technology companies.",0,0,0,0,0,0.033333333,0,0,0.033333333,0
nyt://article/8638bf6b-9cb5-5bb4-b0d3-ab5139734dbc,2019/3/19 0:00,2019-12,b'Google Introduces Streaming Video Game Service',https://www.nytimes.com/2019/03/19/technology/google-stadia-video-game-streaming.html,"SAN FRANCISCO — Google introduced a new video game service on Tuesday that allows people to play high-definition games instantly over the internet, joining an industrywide experiment to offer a so-called Netflix of gaming.",0,0,0,0,0,0.029411765,0.029411765,0.029411765,0,0
nyt://article/288e56a9-dd9b-5ace-9a28-b4da5f651d46,2019/3/26 0:00,2019-13,b'Europe Adopts Tough New Online Copyright Rules Over Tech Industry Protests',https://www.nytimes.com/2019/03/26/business/eu-article-13-copyright.html,Media companies whose business models have been upended by the internet have long complained about Google and other online platforms profiting from their content without compensating them adequately.,0.035714286,0,0,0,0,0.035714286,0.035714286,0,0,0.035714286
nyt://article/638861b5-c5a7-524a-8c42-75273e2ad3dc,2019/3/26 0:00,2019-13,b'Inside Google\xe2\x80\x99s Rebooted Robotics Program',https://www.nytimes.com/2019/03/26/technology/google-robotics-lab.html,"MOUNTAIN VIEW, Calif. — Google has quietly been retooling an ambitious but troubled robotics program that was once led by an executive who left the company amid accusations of sexual harassment. ",0,0,0,0,0,0,0,0,0,0
