Date,Open,High,Low,Close,Adj Close,Volume
2/21/2019,1110.839966,1111.939941,1092.52002,1096.969971,1096.969971,1415100
2/22/2019,1100.900024,1111.23999,1095.599976,1110.369995,1110.369995,1049500
2/25/2019,1116,1118.540039,1107.27002,1109.400024,1109.400024,1413100
2/26/2019,1105.75,1119.51001,1099.920044,1115.130005,1115.130005,1471300
2/27/2019,1106.949951,1117.97998,1101,1116.050049,1116.050049,968400
2/28/2019,1111.300049,1127.650024,1111.01001,1119.920044,1119.920044,1542500
3/1/2019,1124.900024,1142.969971,1124.75,1140.98999,1140.98999,1450300
3/4/2019,1146.98999,1158.280029,1130.689941,1147.800049,1147.800049,1446000
3/5/2019,1150.060059,1169.609985,1146.194946,1162.030029,1162.030029,1443200
3/6/2019,1162.48999,1167.56604,1155.48999,1157.859985,1157.859985,1099300
3/7/2019,1155.719971,1156.755005,1134.910034,1143.300049,1143.300049,1166600
3/8/2019,1126.72998,1147.079956,1123.300049,1142.319946,1142.319946,1212400
3/11/2019,1144.449951,1176.189941,1144.449951,1175.76001,1175.76001,1719200
3/12/2019,1178.26001,1200,1178.26001,1193.199951,1193.199951,2013100
3/13/2019,1200.64502,1200.930054,1191.939941,1193.319946,1193.319946,1435900
3/14/2019,1194.51001,1197.880005,1184.47998,1185.550049,1185.550049,1172800
3/15/2019,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
3/18/2019,1183.300049,1190,1177.421021,1184.26001,1184.26001,1292600
3/19/2019,1188.810059,1200,1185.869995,1198.849976,1198.849976,1520700
3/20/2019,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
3/21/2019,1216,1231.790039,1213.150024,1231.540039,1231.540039,1204000
3/22/2019,1226.319946,1230,1202.824951,1205.5,1205.5,1714200
3/25/2019,1196.930054,1206.397949,1187.040039,1193,1193,1496800
3/26/2019,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
3/27/2019,1185.5,1187.55896,1159.369995,1173.02002,1173.02002,1400200
3/28/2019,1171.540039,1171.564941,1159.43103,1168.48999,1168.48999,1012400
3/29/2019,1174.900024,1178.98999,1162.880005,1173.310059,1173.310059,1269900
4/1/2019,1184.099976,1196.660034,1182,1194.430054,1194.430054,1252500
4/2/2019,1195.319946,1201.349976,1185.709961,1200.48999,1200.48999,827900
4/3/2019,1207.47998,1216.300049,1200.5,1205.920044,1205.920044,1017800
4/4/2019,1205.939941,1215.670044,1204.130005,1215,1215,950000
4/5/2019,1214.98999,1216.219971,1205.030029,1207.150024,1207.150024,907200
4/8/2019,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
4/9/2019,1196,1202.290039,1193.079956,1197.25,1197.25,876400
4/10/2019,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600
4/11/2019,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200
4/12/2019,1210,1218.349976,1208.109985,1217.869995,1217.869995,933400
4/15/2019,1218,1224.199951,1209.109985,1221.099976,1221.099976,1187400
4/16/2019,1225,1230.819946,1220.119995,1227.130005,1227.130005,856300
4/17/2019,1233,1240.560059,1227.819946,1236.339966,1236.339966,1221900
4/18/2019,1239.180054,1242,1234.609985,1236.369995,1236.369995,1331800
4/22/2019,1235.98999,1249.089966,1228.310059,1248.839966,1248.839966,807300
4/23/2019,1250.689941,1269,1246.380005,1264.550049,1264.550049,1319900
4/24/2019,1264.119995,1268.01001,1255,1256,1256,1018800
4/25/2019,1264.77002,1267.407959,1252.030029,1263.449951,1263.449951,1107300
4/26/2019,1269,1273.069946,1260.319946,1272.180054,1272.180054,1241400
4/29/2019,1274,1289.27002,1266.295044,1287.579956,1287.579956,2499400
4/30/2019,1185,1192.810059,1175,1188.47998,1188.47998,6207000
5/1/2019,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200
5/2/2019,1167.76001,1174.189941,1155.001953,1162.609985,1162.609985,1944800
5/3/2019,1173.650024,1186.800049,1169,1185.400024,1185.400024,1980700
5/6/2019,1166.26001,1190.849976,1166.26001,1189.390015,1189.390015,1563900
5/7/2019,1180.469971,1190.439941,1161.040039,1174.099976,1174.099976,1551400
5/8/2019,1172.01001,1180.42395,1165.73999,1166.27002,1166.27002,1309300
5/9/2019,1159.030029,1169.660034,1150.849976,1162.380005,1162.380005,1185700
5/10/2019,1163.589966,1172.599976,1142.5,1164.27002,1164.27002,1314500
5/13/2019,1141.959961,1147.939941,1122.109985,1132.030029,1132.030029,1860600
5/14/2019,1137.209961,1140.420044,1119.550049,1120.439941,1120.439941,1836600
5/15/2019,1117.869995,1171.329956,1116.666016,1164.209961,1164.209961,2289300
5/16/2019,1164.51001,1188.160034,1162.839966,1178.97998,1178.97998,1531400
5/17/2019,1168.469971,1180.150024,1160.01001,1162.300049,1162.300049,1208600
5/20/2019,1144.5,1146.796997,1131.442993,1138.849976,1138.849976,1353300
5/21/2019,1148.48999,1152.708008,1137.939941,1149.630005,1149.630005,1159800
5/22/2019,1146.75,1158.52002,1145.890015,1151.420044,1151.420044,914500
5/23/2019,1140.5,1145.973022,1129.223999,1140.77002,1140.77002,1198900
5/24/2019,1147.359985,1149.765015,1131.660034,1133.469971,1133.469971,1112000
5/28/2019,1134,1151.587036,1133.119995,1134.150024,1134.150024,1365000
5/29/2019,1127.52002,1129.099976,1108.219971,1116.459961,1116.459961,1538200
5/30/2019,1115.540039,1123.130005,1112.119995,1117.949951,1117.949951,951900
5/31/2019,1101.290039,1109.599976,1100.180054,1103.630005,1103.630005,1507800
6/3/2019,1065.5,1065.5,1025,1036.22998,1036.22998,5130600
6/4/2019,1042.900024,1056.050049,1033.689941,1053.050049,1053.050049,2833500
6/5/2019,1051.540039,1053.550049,1030.48999,1042.219971,1042.219971,2168400
6/6/2019,1044.98999,1047.48999,1033.699951,1044.339966,1044.339966,1703200
6/7/2019,1050.630005,1070.920044,1048.400024,1066.040039,1066.040039,1802400
6/10/2019,1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200
