Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,304.589996,318.450012,296.670013,317.380005,317.380005,15121500
11/2/2018,318,321.880005,308.329987,309.100006,309.100006,13404600
11/5/2018,311.100006,317.529999,303.73999,315.440002,315.440002,10283000
11/6/2018,314.76001,320.220001,305.299988,310.839996,310.839996,9710400
11/7/2018,312.899994,328.559998,311,327.5,327.5,13328300
11/8/2018,328,332.049988,316.609985,317.920013,317.920013,11023900
11/9/2018,311.070007,312.980011,298.01001,303.470001,303.470001,13480800
11/12/2018,300,302.48999,290.630005,294.070007,294.070007,10924800
11/13/2018,295,303.549988,289.100006,294.399994,294.399994,12232200
11/14/2018,300.399994,301.839996,278.299988,286.730011,286.730011,16853600
11/15/2018,285.51001,292.5,282.160004,290.059998,290.059998,9967100
11/16/2018,287.140015,291.720001,281,286.209991,286.209991,9099500
11/19/2018,283.790009,285.089996,269.149994,270.600006,270.600006,12993800
11/20/2018,254.630005,276.339996,250,266.980011,266.980011,16693800
11/21/2018,274.420013,275.339996,261.51001,262.130005,262.130005,11023000
11/23/2018,260.109985,265.5,256.839996,258.820007,258.820007,5245100
11/26/2018,260.549988,266.25,253.800003,261.429993,261.429993,12498600
11/27/2018,259.23999,269.079987,256.140015,266.630005,266.630005,11149500
11/28/2018,271.980011,284,263.339996,282.649994,282.649994,14801300
11/29/2018,282.320007,290.48999,275.5,288.75,288.75,15431500
11/30/2018,288,290.809998,283.059998,286.130005,286.130005,11860100
12/3/2018,293.190002,298.720001,284.579987,290.299988,290.299988,14117400
12/4/2018,288.130005,295.73999,274.720001,275.329987,275.329987,12800600
12/6/2018,268.329987,283.220001,267.140015,282.880005,282.880005,13074300
12/7/2018,282.480011,284.209991,263.380005,265.140015,265.140015,12466700
12/10/2018,264.190002,271.179993,260.609985,269.700012,269.700012,9605600
12/11/2018,274.079987,274.5,262.76001,265.320007,265.320007,9843200
12/12/2018,267.660004,281.769989,266.480011,274.880005,274.880005,11456700
12/13/2018,277.640015,279.320007,271.850006,276.019989,276.019989,8379300
12/14/2018,271.809998,277.670013,265,266.839996,266.839996,9915300
12/17/2018,266.51001,272.980011,261.079987,262.799988,262.799988,9634700
12/18/2018,263.299988,275.75,263.290009,270.940002,270.940002,10350100
12/19/2018,269.959991,280.869995,263.769989,266.769989,266.769989,13788400
12/20/2018,264.640015,269.899994,251.880005,260.579987,260.579987,16792900
12/21/2018,263.829987,264.5,241.289993,246.389999,246.389999,21397600
12/24/2018,242,250.649994,233.679993,233.880005,233.880005,9547600
12/26/2018,233.919998,254.5,231.229996,253.669998,253.669998,14402700
12/27/2018,250.110001,255.589996,240.100006,255.570007,255.570007,12235200
12/28/2018,257.940002,261.910004,249.800003,256.079987,256.079987,10992800
12/31/2018,260.160004,270.100006,260,267.660004,267.660004,13508900
1/2/2019,259.279999,269.75,256.579987,267.660004,267.660004,11679500
1/3/2019,270.200012,275.790009,264.429993,271.200012,271.200012,14969600
1/4/2019,281.880005,297.799988,278.540009,297.570007,297.570007,19330100
1/7/2019,302.100006,316.799988,301.649994,315.339996,315.339996,18620100
1/8/2019,319.980011,320.589996,308.01001,320.269989,320.269989,15359200
1/9/2019,317.709991,323.350006,313.5,319.959991,319.959991,13343200
1/10/2019,314.570007,325.369995,312.5,324.660004,324.660004,13472500
