Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,107.720001,109.980003,107.449997,109.260002,105.951981,13948300
2018-11-27,108.760002,110.029999,108.629997,109.720001,106.398048,9238200
2018-11-28,109.800003,111.400002,108.870003,110.940002,107.581116,13977300
2018-11-29,110.269997,110.800003,109.639999,110.059998,106.727753,11144300
2018-11-30,109.849998,111.320000,109.580002,111.190002,107.823547,18652700
2018-12-03,112.379997,112.889999,111.739998,112.239998,108.841751,16034500
2018-12-04,111.599998,111.599998,106.730003,107.230003,103.983444,23555900
2018-12-06,105.010002,105.360001,102.879997,105.190002,102.005211,27213900
2018-12-07,105.160004,106.980003,102.910004,103.290001,100.162727,19248600
2018-12-10,102.870003,103.489998,99.279999,101.360001,98.291168,23636400
2018-12-11,103.129997,103.660004,100.209999,100.370003,97.331146,16860700
2018-12-12,101.660004,102.900002,100.059998,101.019997,97.961456,22621500
2018-12-13,101.550003,101.970001,100.669998,101.120003,98.058426,17250900
2018-12-14,99.989998,101.940002,99.860001,100.290001,97.253563,19879500
2018-12-17,99.769997,100.559998,98.440002,99.010002,96.012306,25113500
2018-12-18,99.419998,100.889999,98.120003,98.540001,95.556541,20837200
2018-12-19,98.410004,100.580002,96.599998,97.290001,94.344391,28767900
2018-12-20,96.610001,98.279999,95.690002,96.449997,93.529816,31825200
2018-12-21,96.680000,98.430000,93.690002,94.169998,91.318848,41313900
2018-12-24,92.889999,94.220001,92.139999,92.139999,89.350311,17009300
2018-12-26,92.690002,95.959999,91.110001,95.959999,93.054665,22542900
2018-12-27,94.820000,97.150002,93.550003,97.040001,94.101952,20304700
2018-12-28,97.949997,98.320000,96.440002,96.830002,93.898323,17963300
2018-12-31,97.589996,98.809998,96.769997,97.620003,94.664406,13237200
2019-01-02,95.949997,99.779999,95.940002,99.309998,96.303230,15670900
2019-01-03,98.639999,98.889999,96.690002,97.110001,94.934593,16286400
2019-01-04,99.110001,100.930000,98.279999,100.690002,98.434395,16935200
